CountryName,ISO_A3,sqrKm.
Afghanistan,AFG,652860
Albania,ALB,28750
Algeria,DZA,2381740
American Samoa,ASM,200
Andorra,AND,470
Angola,AGO,1246700
Antigua and Barbuda,ATG,440
Argentina,ARG,2780400
Armenia,ARM,29740
Aruba,ABW,180
Australia,AUS,7741220
Austria,AUT,83879
Azerbaijan,AZE,86600
"Bahamas, The",BHS,13880
Bahrain,BHR,778
Bangladesh,BGD,147630
Barbados,BRB,430
Belarus,BLR,207600
Belgium,BEL,30530
Belize,BLZ,22970
Benin,BEN,114760
Bermuda,BMU,4290
Bhutan,BTN,38394
Bolivia,BOL,1098580
Bosnia and Herzegovina,BIH,51210
Botswana,BWA,581730
Brazil,BRA,8515770
British Virgin Islands,VGB,150
Brunei Darussalam,BRN,5770
Bulgaria,BGR,111000
Burkina Faso,BFA,274220
Burundi,BDI,27830
Cabo Verde,CPV,4030
Cambodia,KHM,181040
Cameroon,CMR,475440
Canada,CAN,9984670
Cayman Islands,CYM,260
Central African Republic,CAF,622980
Chad,TCD,1284000
Channel Islands,CHI,198
Chile,CHL,756700
China,CHN,9562910
Colombia,COL,1141749
Comoros,COM,1861
"Congo, Dem. Rep.",COD,2344860
"Congo, Rep.",COG,342000
Costa Rica,CRI,51100
Cote d'Ivoire,CIV,322460
Croatia,HRV,56590
Cuba,CUB,109880
Curacao,CUW,444
Cyprus,CYP,9250
Czech Republic,CZE,78870
Denmark,DNK,42920
Djibouti,DJI,23200
Dominica,DMA,750
Dominican Republic,DOM,48670
Ecuador,ECU,256370
"Egypt, Arab Rep.",EGY,1001450
El Salvador,SLV,21040
Equatorial Guinea,GNQ,28050
Eritrea,ERI,117600
Estonia,EST,45340
Eswatini,SWZ,17360
Ethiopia,ETH,1104300
Faroe Islands,FRO,1396
Fiji,FJI,18270
Finland,FIN,338450
France,FRA,549087
French Polynesia,PYF,4000
Gabon,GAB,267670
"Gambia, The",GMB,11300
Georgia,GEO,69700
Germany,DEU,357580
Ghana,GHA,238540
Gibraltar,GIB,10
Greece,GRC,131960
Greenland,GRL,410450
